BANKNIFTY,20130301,09:16,11544.70,11544.70,11521.80,11521.80
BANKNIFTY,20130301,09:17,11509.60,11509.60,11492.05,11494.95
BANKNIFTY,20130301,09:18,11492.25,11511.05,11492.25,11509.80
BANKNIFTY,20130301,09:19,11510.30,11510.30,11502.00,11509.60
BANKNIFTY,20130301,09:20,11513.50,11525.75,11509.60,11520.50
BANKNIFTY,20130301,09:21,11527.30,11527.30,11507.60,11512.40
BANKNIFTY,20130301,09:22,11504.45,11514.00,11504.45,11514.00
BANKNIFTY,20130301,09:23,11515.35,11518.35,11502.05,11502.80
BANKNIFTY,20130301,09:24,11505.90,11525.40,11505.90,11511.45
BANKNIFTY,20130301,09:25,11517.45,11522.30,11496.50,11498.80
BANKNIFTY,20130301,09:26,11502.85,11513.40,11502.40,11510.20
BANKNIFTY,20130301,09:27,11509.40,11516.35,11507.75,11516.35
BANKNIFTY,20130301,09:28,11518.10,11524.45,11505.85,11508.40
BANKNIFTY,20130301,09:29,11508.35,11510.15,11486.85,11486.85
BANKNIFTY,20130301,09:30,11484.20,11484.20,11477.70,11481.10
BANKNIFTY,20130301,09:31,11483.25,11483.25,11458.70,11461.50
BANKNIFTY,20130301,09:32,11462.45,11479.65,11462.45,11475.90
BANKNIFTY,20130301,09:33,11476.45,11479.75,11475.65,11479.15
BANKNIFTY,20130301,09:34,11481.20,11481.20,11460.40,11460.40
BANKNIFTY,20130301,09:35,11461.30,11465.40,11459.25,11459.25
BANKNIFTY,20130301,09:36,11461.30,11471.70,11461.30,11471.70
BANKNIFTY,20130301,09:37,11474.85,11491.10,11474.85,11486.70
BANKNIFTY,20130301,09:38,11479.65,11499.50,11479.65,11499.50
BANKNIFTY,20130301,09:39,11498.55,11501.05,11493.35,11493.35
BANKNIFTY,20130301,09:40,11494.00,11495.25,11489.35,11492.90
BANKNIFTY,20130301,09:41,11499.75,11509.75,11499.75,11502.65
BANKNIFTY,20130301,09:42,11497.55,11508.85,11495.85,11508.70
BANKNIFTY,20130301,09:43,11506.35,11506.35,11490.55,11496.00
BANKNIFTY,20130301,09:44,11499.70,11513.10,11496.35,11504.10
BANKNIFTY,20130301,09:45,11507.65,11516.10,11507.65,11512.90
BANKNIFTY,20130301,09:46,11506.60,11511.20,11500.15,11505.60
BANKNIFTY,20130301,09:47,11507.80,11514.90,11507.65,11507.65
BANKNIFTY,20130301,09:48,11503.65,11512.05,11503.65,11512.05
BANKNIFTY,20130301,09:49,11511.10,11517.65,11511.10,11513.45
BANKNIFTY,20130301,09:50,11514.70,11516.45,11510.35,11512.30
