<Ticker>,<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume> 
^NSEI,20070109,09:55,3942.90,3947.30,3933.40,3943.65,0
^NSEI,20070109,09:56,3943.00,3944.30,3941.70,3944.30,0
^NSEI,20070109,09:57,3940.45,3945.95,3940.35,3940.35,0
^NSEI,20070109,09:58,3932.85,3937.60,3930.60,3931.20,0
^NSEI,20070109,09:59,3933.00,3933.00,3929.50,3929.90,0
^NSEI,20070109,10:00,3929.80,3932.05,3929.80,3932.05,0
^NSEI,20070109,10:01,3937.60,3937.60,3932.95,3935.95,0
^NSEI,20070109,10:02,3940.25,3940.25,3939.70,3940.25,0
^NSEI,20070109,10:03,3939.55,3939.90,3938.95,3938.95,0
^NSEI,20070109,10:04,3939.35,3940.00,3938.45,3939.90,0
^NSEI,20070109,10:05,3940.00,3941.85,3939.65,3941.85,0
^NSEI,20070109,10:06,3941.35,3941.45,3937.95,3937.95,0
^NSEI,20070109,10:07,3940.10,3940.40,3937.85,3937.85,0
^NSEI,20070109,10:08,3939.60,3939.90,3938.75,3939.90,0
^NSEI,20070109,10:09,3936.30,3939.80,3936.25,3938.60,0
^NSEI,20070109,10:10,3932.85,3934.85,3932.30,3932.30,0
^NSEI,20070109,10:11,3932.00,3932.00,3930.45,3931.40,0
^NSEI,20070109,10:12,3930.25,3934.75,3930.25,3934.75,0
^NSEI,20070109,10:13,3934.95,3936.35,3934.95,3935.75,0
^NSEI,20070109,10:14,3935.20,3937.45,3935.20,3937.45,0
^NSEI,20070109,10:15,3939.80,3939.80,3937.85,3939.50,0
^NSEI,20070109,10:16,3940.05,3940.95,3940.05,3940.45,0
^NSEI,20070109,10:17,3939.40,3940.70,3939.40,3940.70,0
^NSEI,20070109,10:18,3943.00,3943.00,3940.90,3942.80,0
^NSEI,20070109,10:19,3943.75,3945.95,3943.75,3945.95,0
^NSEI,20070109,10:20,3946.20,3946.20,3945.60,3945.85,0
^NSEI,20070109,10:21,3946.05,3947.45,3946.05,3947.15,0
^NSEI,20070109,10:22,3946.85,3948.85,3946.80,3948.85,0
^NSEI,20070109,10:23,3949.70,3949.70,3948.50,3948.90,0
^NSEI,20070109,10:24,3950.00,3950.25,3949.40,3949.85,0
^NSEI,20070109,10:25,3950.60,3952.45,3950.60,3952.45,0
^NSEI,20070109,10:26,3951.35,3953.20,3951.35,3953.20,0
^NSEI,20070109,10:27,3953.25,3954.85,3953.25,3954.85,0
^NSEI,20070109,10:28,3954.20,3954.20,3953.55,3953.65,0
^NSEI,20070109,10:29,3953.40,3953.40,3952.60,3952.60,0
^NSEI,20070109,10:30,3952.70,3952.70,3950.30,3950.30,0
^NSEI,20070109,10:31,3951.55,3951.55,3950.40,3951.30,0
^NSEI,20070109,10:32,3951.25,3951.95,3951.25,3951.95,0
^NSEI,20070109,10:33,3952.40,3953.40,3952.40,3953.40,0
^NSEI,20070109,10:34,3954.85,3954.85,3953.05,3954.55,0
^NSEI,20070109,10:35,3954.90,3956.20,3954.90,3956.20,0
^NSEI,20070109,10:36,3957.20,3958.70,3956.85,3958.70,0
^NSEI,20070109,10:37,3959.25,3959.65,3957.75,3959.65,0
^NSEI,20070109,10:38,3961.40,3962.70,3961.40,3962.60,0
^NSEI,20070109,10:39,3962.00,3963.45,3962.00,3962.00,0
^NSEI,20070109,10:40,3961.50,3962.60,3961.50,3962.60,0
^NSEI,20070109,10:41,3962.55,3962.95,3962.55,3962.60,0
^NSEI,20070109,10:42,3962.20,3962.85,3962.20,3962.45,0
^NSEI,20070109,10:43,3960.60,3961.70,3960.55,3960.55,0
^NSEI,20070109,10:44,3961.55,3961.55,3960.15,3961.30,0
^NSEI,20070109,10:45,3961.55,3962.10,3961.55,3962.00,0
^NSEI,20070109,10:46,3961.75,3961.75,3959.30,3959.30,0
^NSEI,20070109,10:47,3959.55,3959.55,3959.00,3959.00,0
^NSEI,20070109,10:48,3958.80,3959.30,3958.80,3959.30,0
^NSEI,20070109,10:49,3959.05,3959.55,3959.05,3959.55,0
^NSEI,20070109,10:50,3959.30,3959.65,3959.15,3959.45,0
^NSEI,20070109,10:51,3959.15,3959.15,3958.80,3959.00,0
^NSEI,20070109,10:52,3958.45,3958.60,3958.40,3958.55,0
^NSEI,20070109,10:53,3958.00,3958.00,3957.35,3957.35,0
^NSEI,20070109,10:54,3956.40,3957.30,3956.25,3956.40,0
^NSEI,20070109,10:55,3956.55,3956.55,3956.40,3956.40,0
^NSEI,20070109,10:56,3956.55,3956.70,3956.10,3956.70,0
^NSEI,20070109,10:57,3957.45,3957.65,3956.25,3957.65,0
^NSEI,20070109,10:58,3957.75,3960.10,3957.75,3960.10,0
^NSEI,20070109,10:59,3962.35,3962.35,3959.15,3961.85,0
^NSEI,20070109,11:00,3962.30,3962.30,3961.85,3962.10,0
^NSEI,20070109,11:01,3962.50,3962.50,3961.65,3962.40,0
^NSEI,20070109,11:02,3962.70,3962.75,3962.05,3962.10,0
^NSEI,20070109,11:03,3962.45,3962.45,3961.55,3962.35,0
^NSEI,20070109,11:04,3961.85,3961.90,3961.40,3961.90,0
^NSEI,20070109,11:05,3962.30,3962.30,3961.70,3961.95,0
^NSEI,20070109,11:06,3961.85,3962.75,3961.85,3962.50,0
^NSEI,20070109,11:07,3961.75,3962.05,3961.35,3961.35,0
^NSEI,20070109,11:08,3960.80,3961.75,3960.80,3960.95,0
^NSEI,20070109,11:09,3961.30,3961.65,3961.10,3961.65,0
^NSEI,20070109,11:10,3960.95,3960.95,3958.95,3959.10,0
^NSEI,20070109,11:11,3958.85,3959.05,3955.45,3955.45,0
